Filename	number	gene	dox	MACS	rep	VSG	Percent	RPKM	hit_VSG	pct_id_vs_query	pct_id_vs_match	match_VSG_length	assembled_VSG_length
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN106_c0_g1_i1_1_48_1458_RC_29_YAK_+dox_pre-MACS_rep2	0.0	0.0	gnl|BL_ORD_ID|2651 Tbb1125VSG-83 : Complete : 1440nt : MC : contig Illumina-6225	74.2553191489	72.7083333333	1440	1410
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN1205_c0_g1_i2_1_0_949_RC_24_NEK_+dox_post-MACS_rep3	0.0	0.0	gnl|BL_ORD_ID|2652 Tbb1125VSG-84 : Complete : 1605nt : MC : contig PacBio-1576	94.8366701791	56.0747663551	1605	949
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN1_c0_g1_i1_1_17_1508_RC_33_YAK_-dox_post-MACS_rep3	1.24109510716e-05	0.0794962057197	gnl|BL_ORD_ID|2642 Tbb1125VSG-74 : Complete : 1491nt : MC : contig Illumina-4134	100.0	100.0	1491	1491
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN126_c0_g1_i1_1_10_1348_RC_10_HYP2_+dox_post-MACS_rep1	0.0	0.0	gnl|BL_ORD_ID|2626 Tbb1125VSG-55 : Complete : 1338nt : MC : contig Illumina-356	100.0	100.0	1338	1338
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN1014_c0_g1_i1_1_1_1543_RC_22_NEK_+dox_post-MACS_rep1	0.048029851293	307.646925449	gnl|BL_ORD_ID|3943 Tbb1125VSG-2039 : C-terminus partial : 1281nt : contig Illumina-3397	79.4422827497	95.6284153005	1281	1542
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN172_c0_g1_i1_1_1_1522_RC_10_HYP2_+dox_post-MACS_rep1	5.28864667049e-05	0.338755137516	gnl|BL_ORD_ID|2610 Tbb1125VSG-38 : Complete : 1512nt : MC : contig Illumina-848	96.77843524	97.3544973545	1512	1521
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN114_c0_g1_i1_1_6_1407_RC_19_NEK_-dox_post-MACS_rep1	0.000774501546339	4.96093602358	gnl|BL_ORD_ID|6 Tb427VSG-8 : GB Accession AY935574 : 1401nt : Complete : contig90003.	100.0	100.0	1401	1401
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN213_c0_g1_i3_1_38_1508_RC_3_HYP2_-dox_pre-MACS_rep3	0.0	0.0	gnl|BL_ORD_ID|4982 Tbb1125VSG-4251 : Complete but atypical GPI site : 1470nt : contig PacBio-117	95.2380952381	95.2380952381	1470	1470
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN107_c0_g1_i1_1_129_1461_RC_36_YAK_+dox_post-MACS_rep3	0.000519750650017	3.32917311158	gnl|BL_ORD_ID|5297 Tbb1125VSG-4858 : N-terminus partial : 1332nt : Duplicate : contig PacBio-107	100.0	100.0	1332	1332
1_HYP2_-dox_pre-MACS_rep1.fq	1	HYP2	-	pre	1	TRINITY_DN27_c0_g1_i1_1_355_1876_27_YAK_-dox_pre-MACS_rep3	0.000227326947014	1.4561035364	gnl|BL_ORD_ID|1191 Tb427VSG-1676 : GB Accession KC613160 : 987nt : N-terminus partial : contig6658.	4.79947403024	7.39614994934	987	1521
